Feature,Importance
ch0_mag_band_10_std,0.001663074846538643
ch0_cqcc_16_std,0.0016536082067355959
ch0_real_band_14_std,0.001642709832007034
ch0_real_band_10_std,0.0016368744708332974
ch1_imag_band_6_std,0.0016110438709583414
ch0_mag_band_34_mean,0.001608884730496886
ch0_real_band_34_std,0.0015869425630098914
ch1_mag_band_28_std,0.001583860824530715
ch1_imag_band_12_std,0.0015616758630688935
ch1_mag_band_38_kurtosis,0.0015613319803692682
ch0_imag_band_8_std,0.0015588230308945408
ch1_imag_band_18_std,0.0015444240251908498
ch0_real_band_9_std,0.0015024677992243425
ch0_mag_band_9_std,0.0014807578097545254
ch0_mag_band_34_std,0.001462172901064009
ch1_real_band_20_std,0.0014519671905179677
ch0_real_band_38_kurtosis,0.001445973761710792
ch1_imag_band_38_std,0.0014263249942648092
ch1_imag_band_15_std,0.0014260142178265337
ch1_imag_band_30_std,0.0014203717985301594
ch0_mag_band_15_mean,0.0014186816208793022
ch1_real_band_18_std,0.001401040209578194
ch1_mgd_band_34_std,0.0013885066737764835
ch1_mag_band_16_mean,0.001381752012829098
ch1_imag_band_19_std,0.0013801071460894513
ch1_phase_band_0_std,0.0013621772050473784
ch0_cqcc_13_std,0.0013538291814676094
ch0_imag_band_33_std,0.0013520901566628225
ch0_imag_band_35_std,0.0013367991268415352
ch1_mag_band_18_mean,0.0013246220062573134
ch0_mag_band_37_std,0.0013241093792444813
ch0_mag_band_8_mean,0.0013138128588392444
ch0_imag_band_9_std,0.0013053853430033521
ch0_mag_band_14_std,0.0012788129689145621
ch0_imag_band_38_std,0.0012745454824178446
ch0_mag_band_17_mean,0.0012581365491359591
ch0_mag_band_6_std,0.0012376036627745352
ch1_cqcc_2_skew,0.0012322359992908137
ch1_real_band_6_std,0.0012168452779688249
ch0_mgd_band_39_kurtosis,0.0012051903505380988
ch0_real_band_15_std,0.001201826648392092
ch0_real_band_33_std,0.0011697724016682422
ch1_mgd_band_39_kurtosis,0.0011582538359113375
ch1_mag_band_29_std,0.0011469762706699698
ch0_real_band_4_std,0.0011428523875899345
ch1_real_band_35_std,0.0011410217913215294
ch1_lfcc_0_skew,0.0011177629794821662
ch1_mag_band_36_std,0.0010962250502878658
ch1_real_band_28_std,0.0010738013730492992
ch0_mag_band_38_mean,0.0010732326215861221
ch1_phase_band_39_kurtosis,0.0010717546017011653
ch1_mgd_band_32_std,0.0010680521336448399
ch1_mgd_band_33_std,0.0010632838379112538
ch0_mag_band_32_std,0.0010408002572253325
ch0_mgd_band_34_std,0.0010342708467694695
ch0_mag_band_4_mean,0.001025708186391246
ch1_mag_band_30_std,0.0010113395769096338
ch1_mag_band_38_mean,0.0010063300564619989
ch1_mag_band_36_mean,0.0009963706627145461
ch1_real_band_37_std,0.0009806661444849581
ch1_mag_band_24_mean,0.0009453245684759275
ch0_imag_band_16_std,0.0009415968677153111
ch0_cqcc_12_std,0.0009308303464882098
ch1_mgd_band_35_mean,0.0009219437488689365
ch1_cqcc_16_std,0.0009134488425378229
ch1_mag_band_37_std,0.0009109239573509292
ch1_real_band_17_kurtosis,0.0008853865954249174
ch1_mag_band_4_mean,0.0008851277496524982
ch0_lfcc_0_skew,0.0008820722923893434
ch1_phase_band_0_kurtosis,0.0008772018550878561
ch0_mag_band_13_mean,0.0008662550289886852
ch1_real_band_38_kurtosis,0.0008390711696741243
ch1_mgd_band_36_mean,0.0008354463855198189
ch1_cqcc_12_std,0.0008298021658576219
ch1_cqcc_0_std,0.0008290705244216269
ch0_mag_band_31_std,0.0008234573774847088
ch1_mag_band_32_skew,0.0008160354606815222
ch1_cqcc_14_std,0.000809337411251727
ch0_cqcc_2_skew,0.0008091326421927905
ch0_mgd_band_34_mean,0.0008011135152414116
ch1_cqcc_15_std,0.000799401484135247
ch0_imag_band_36_std,0.0007981716028365211
ch0_mag_band_37_mean,0.0007975092455934249
ch0_mag_band_31_kurtosis,0.000795732957009924
ch0_mgd_band_35_std,0.0007931466953846862
ch0_real_band_32_std,0.0007795855715541194
ch0_mag_band_32_kurtosis,0.0007746009894984345
ch1_mag_band_34_mean,0.0007648416000063916
ch1_mgd_band_31_mean,0.0007612116461888428
ch0_real_band_37_std,0.0007560889795552395
ch1_real_band_4_std,0.0007356177040107589
ch1_cqcc_13_std,0.0007325231459236895
ch0_mgd_band_29_mean,0.0007318928051746749
ch1_mfcc_5_std,0.0007221976702690446
ch0_cqcc_15_std,0.00070585473058199
ch1_imag_band_35_std,0.0007011109368706369
ch0_cqcc_11_std,0.0007000553706976414
ch1_mag_band_18_skew,0.0006947414734358788
ch0_lfcc_2_mean,0.000686042744425968
ch0_cqcc_14_std,0.0006710209693554708
ch1_cqcc_6_std,0.0006707718290808572
ch1_real_band_36_std,0.0006701657886930413
ch1_mag_band_17_kurtosis,0.0006685751587719399
ch1_mfcc_1_skew,0.0006643505817128302
ch0_mfcc_4_std,0.0006604408219828143
ch0_mag_band_33_mean,0.0006591728989086547
ch0_mgd_band_30_std,0.0006587732267753872
ch1_mgd_band_31_std,0.0006540325973835449
ch0_imag_band_10_std,0.0006489160533352066
ch0_mag_band_28_std,0.0006375892578701146
ch0_mag_band_36_skew,0.0006205295312721214
ch1_cqcc_11_std,0.0006157471642267542
ch1_imag_band_33_kurtosis,0.0006099129911400112
ch1_mag_band_14_std,0.0006076470159836617
ch1_imag_band_36_kurtosis,0.0006015342965071388
ch0_mag_band_14_mean,0.0005990472828155532
ch1_cqcc_0_kurtosis,0.0005965249442989436
ch0_real_band_34_kurtosis,0.0005931558826798398
ch0_mag_band_38_kurtosis,0.0005897691670035489
ch1_real_band_19_kurtosis,0.0005781935555934057
ch0_mgd_band_33_std,0.0005678267175973355
ch0_mag_band_36_kurtosis,0.0005624252794427626
ch1_cqcc_17_std,0.0005617889397900017
ch0_real_band_36_kurtosis,0.0005589437720526682
ch0_mag_band_34_skew,0.0005575568794645635
ch1_real_band_15_std,0.0005560792106132391
ch1_cqcc_0_mean,0.0005544747530571392
ch1_cqcc_10_std,0.0005469611468347018
ch0_mfcc_1_skew,0.0005452486970200979
ch0_mgd_band_4_mean,0.0005443808378814942
ch1_imag_band_34_std,0.000544181585536276
ch0_mag_band_11_std,0.0005437011039970651
ch1_real_band_35_kurtosis,0.000538315451984942
ch0_real_band_35_std,0.000537504748007647
ch1_real_band_33_kurtosis,0.0005367474762929602
ch1_real_band_31_std,0.0005324575384601207
ch0_mag_band_33_kurtosis,0.000525212971076946
ch0_cqcc_0_std,0.0005234935322645473
ch0_imag_band_11_std,0.0005177528517431987
ch1_mag_band_32_kurtosis,0.0005162179359522668
ch0_mag_band_36_mean,0.0005132794471319747
ch1_mag_band_36_kurtosis,0.0005084398835763306
